name,region,country,lat,lng,population
Austin,Texas,US,30.2672,-97.7431,961855
Denver,Colorado,US,39.7392,-104.9903,715522
Portland,Oregon,US,45.5152,-122.6784,652503
Nashville,Tennessee,US,36.1627,-86.7816,689447
Madison,Wisconsin,US,43.0731,-89.4012,269840
Springfield,Illinois,US,39.7817,-89.6501,114394
Springfield,Missouri,US,37.209,-93.2923,169176
Boise,Idaho,US,43.615,-116.2023,235684
Tucson,Arizona,US,32.2226,-110.9747,542629
Asheville,North Carolina,US,35.5951,-82.5515,94589
Santa Fe,New Mexico,US,35.687,-105.9378,87505
Burlington,Vermont,US,44.4759,-73.2121,44743
