name,city,region,category,address_line1,postcode,phone,website
Pawsitively Polished,Austin,Texas,Cat and Dog Groomers,3359 Grand Avenue,78766,(555) 010-0100,https://example.com/pawsitively-polished
The Dapper Dog,Austin,Texas,Grooming Salons,277 Elm Street,78770,(555) 010-0101,https://example.com/the-dapper-dog
Bark Avenue Grooming,Austin,Texas,Mobile Groomers,4201 Cedar Avenue,78753,(555) 010-0102,https://example.com/bark-avenue-grooming
Suds and Snouts,Austin,Texas,Pet Spas,1885 Riverside Drive,78734,(555) 010-0103,https://example.com/suds-and-snouts
The Clip Joint,Austin,Texas,Show Groomers,2383 Broadway,78764,(555) 010-0104,https://example.com/the-clip-joint
Shaggy to Chic,Austin,Texas,Self-Service Dog Wash,2657 Division Street,78724,(555) 010-0105,https://example.com/shaggy-to-chic
Muddy Paws Wash,Austin,Texas,Cat and Dog Groomers,3312 Division Street,78758,(555) 010-0106,https://example.com/muddy-paws-wash
Fur Real Salon,Austin,Texas,Show Groomers,4386 Riverside Drive,78731,(555) 010-0107,https://example.com/fur-real-salon
Wagging Tails Spa,Austin,Texas,Grooming Salons,616 Congress Avenue,78714,(555) 010-0108,https://example.com/wagging-tails-spa
The Groom Room,Austin,Texas,Pet Spas,1016 Pearl Street,78744,(555) 010-0109,https://example.com/the-groom-room
Bubbles and Bows,Austin,Texas,Grooming Salons,1591 Pine Street,78718,(555) 010-0110,https://example.com/bubbles-and-bows
Scrub a Pup,Austin,Texas,Show Groomers,2014 Broadway,78722,(555) 010-0111,https://example.com/scrub-a-pup
Top Dog Grooming,Austin,Texas,Grooming Salons,889 Main Street,78709,(555) 010-0112,https://example.com/top-dog-grooming
Happy Hound Mobile,Austin,Texas,Show Groomers,3539 Elm Street,78770,(555) 010-0113,https://example.com/happy-hound-mobile
Dirty Dog Wash,Austin,Texas,Show Groomers,2832 Pine Street,78787,(555) 010-0114,https://example.com/dirty-dog-wash
Fluff and Buff,Austin,Texas,Self-Service Dog Wash,2518 Main Street,78798,(555) 010-0115,https://example.com/fluff-and-buff
Paws and Claws Spa,Austin,Texas,Mobile Groomers,3481 Cedar Avenue,78791,(555) 010-0116,https://example.com/paws-and-claws-spa
Hair of the Dog,Austin,Texas,Grooming Salons,554 Oak Street,78729,(555) 010-0117,https://example.com/hair-of-the-dog
Ruff Cuts,Austin,Texas,Cat and Dog Groomers,4532 Cedar Avenue,78779,(555) 010-0118,https://example.com/ruff-cuts
