name,region,country,lat,lng,population
London,Greater London,GB,51.5074,-0.1278,8982000
Birmingham,West Midlands,GB,52.4862,-1.8904,1141400
Manchester,Greater Manchester,GB,53.4808,-2.2426,553230
Leeds,West Yorkshire,GB,53.8008,-1.5491,789194
Liverpool,Merseyside,GB,53.4084,-2.9916,498042
Sheffield,South Yorkshire,GB,53.3811,-1.4701,584853
Bristol,Bristol,GB,51.4545,-2.5879,467099
Newcastle upon Tyne,Tyne and Wear,GB,54.9783,-1.6178,300196
Nottingham,Nottinghamshire,GB,52.9548,-1.1581,323632
Leicester,Leicestershire,GB,52.6369,-1.1398,368600
Southampton,Hampshire,GB,50.9097,-1.4044,269781
Portsmouth,Hampshire,GB,50.8198,-1.088,238137
Brighton,East Sussex,GB,50.8225,-0.1372,290395
Plymouth,Devon,GB,50.3755,-4.1427,264695
Reading,Berkshire,GB,51.4543,-0.9781,174224
Derby,Derbyshire,GB,52.9226,-1.4746,257302
Wolverhampton,West Midlands,GB,52.587,-2.1288,263700
Stoke-on-Trent,Staffordshire,GB,53.0027,-2.1794,256375
Coventry,West Midlands,GB,52.4068,-1.5197,371521
Bradford,West Yorkshire,GB,53.796,-1.7594,349561
Cardiff,Cardiff,GB,51.4816,-3.1791,362310
Swansea,Swansea,GB,51.6214,-3.9436,246466
Edinburgh,City of Edinburgh,GB,55.9533,-3.1883,506520
Glasgow,Glasgow City,GB,55.8642,-4.2518,635640
Aberdeen,Aberdeen City,GB,57.1497,-2.0943,200680
Dundee,Dundee City,GB,56.462,-2.9707,148280
Belfast,County Antrim,GB,54.5973,-5.9301,343542
York,North Yorkshire,GB,53.96,-1.0873,153717
Bath,Somerset,GB,51.3811,-2.359,94782
Oxford,Oxfordshire,GB,51.752,-1.2577,152450
Cambridge,Cambridgeshire,GB,52.2053,0.1218,145700
Norwich,Norfolk,GB,52.6309,1.2974,141300
Exeter,Devon,GB,50.7184,-3.5339,130709
Chester,Cheshire,GB,53.1934,-2.8931,79645
Durham,County Durham,GB,54.7761,-1.5733,48069
Canterbury,Kent,GB,51.2802,1.0789,55240
Winchester,Hampshire,GB,51.0632,-1.308,45184
Salisbury,Wiltshire,GB,51.0688,-1.7945,40302
Lincoln,Lincolnshire,GB,53.2307,-0.5406,97541
Harrogate,North Yorkshire,GB,53.9921,-1.5418,73576
Cheltenham,Gloucestershire,GB,51.9,-2.08,116447
Shrewsbury,Shropshire,GB,52.7069,-2.7527,71715
Truro,Cornwall,GB,50.2632,-5.051,18766
Inverness,Highland,GB,57.4778,-4.2247,47790
Stirling,Stirling,GB,56.1165,-3.9369,37810
Bangor,Gwynedd,GB,53.2274,-4.1293,18808
Windsor,Berkshire,GB,51.4791,-0.6095,32184
Stratford-upon-Avon,Warwickshire,GB,52.1919,-1.7083,30495
Richmond,Greater London,GB,51.4613,-0.3037,21469
Richmond,North Yorkshire,GB,54.4028,-1.737,8413
